Date,Item,Item desc.,Quantity,Ext. quantity, Price , Purchase amount , Amount ,PO number,Entered date,[ItemInventoryCode],NA Item #,Item Desc.,IBPI Price,Unit Difference,Total Difference,Total Savings 
12/4/2023,106R03512,Xerox VersaLink C400 C405 High Capacity Black Toner Cartridge 5000 Yield,1,1, $ 42.91 , $ 42.91 , $ 42.91 ,6582-0,12/4/2023,Supplies,#N/A,#N/A,#N/A,,,
12/6/2023,106R03512,Xerox VersaLink C400 C405 High Capacity Black Toner Cartridge 5000 Yield,1,1, $ 45.41 , $ 45.41 , $ 45.41 ,6620-0,12/6/2023,Supplies,#N/A,#N/A,#N/A,,,
1/24/2024,106R03513,Xerox VersaLink C400 C405 High Capacity Yellow Toner Cartridge 4800 Yield,2,2, $ 88.43 , $ 176.86 , $ 176.86 ,7355-0,1/24/2024,Supplies,#N/A,#N/A,#N/A,,,
6/27/2023,106R03582,Xerox VersaLink B400 B405 High Capacity Toner Cartridge 13900 Yield,1,1, $ 92.66 , $ 92.66 , $ 92.66 ,4109-0,6/27/2023,Supplies,#N/A,#N/A,#N/A,,,
10/2/2023,106R03582,Xerox VersaLink B400 B405 High Capacity Toner Cartridge 13900 Yield,1,1, $ 92.66 , $ 92.66 , $ 92.66 ,5600-0,10/2/2023,Supplies,#N/A,#N/A,#N/A,,,
1/23/2024,106R03582,Xerox VersaLink B400 B405 High Capacity Toner Cartridge 13900 Yield,1,1, $ 92.80 , $ 92.80 , $ 92.80 ,7338-0,1/23/2024,Supplies,#N/A,#N/A,#N/A,,,
2/13/2024,106R03582,Xerox VersaLink B400 B405 High Capacity Toner Cartridge 13900 Yield,1,1, $ 92.80 , $ 92.80 , $ 92.80 ,7725-0,2/13/2024,Supplies,#N/A,#N/A,#N/A,,,
4/12/2023,106R03859,Xerox VersaLink C500 C505 Cyan Toner Cartridge 2400 Yield,1,1, $ 62.98 , $ 62.98 , $ 62.98 ,3096-0,4/12/2023,Supplies,#N/A,#N/A,#N/A,,,
4/12/2023,106R03860,Xerox VersaLink C500 C505 Magenta Toner Cartridge 2400 Yield,1,1, $ 62.98 , $ 62.98 , $ 62.98 ,3096-0,4/12/2023,Supplies,#N/A,#N/A,#N/A,,,
4/12/2023,106R03861,Xerox VersaLink C500 C505 Yellow Toner Cartridge 2400 Yield,1,1, $ 62.98 , $ 62.98 , $ 62.98 ,3096-0,4/12/2023,Supplies,#N/A,#N/A,#N/A,,,
4/12/2023,106R03862,Xerox VersaLink C500 C505 Black Toner Cartridge 5000 Yield,1,1, $ 68.19 , $ 68.19 , $ 68.19 ,3096-0,4/12/2023,Supplies,#N/A,#N/A,#N/A,,,
3/8/2024,108R01121,Xerox Phaser 6600 VersaLink C400 C405 WC 6605 MFP Imag Unit Kit Incl 4 Imag Units 1 for Ea Clr - CRU,1,1, $ 104.51 , $ 104.51 , $ 104.51 ,8169-0,3/8/2024,Parts,#N/A,#N/A,#N/A,,,
6/19/2023,108R01121,Xerox Phaser 6600 VersaLink C400 C405 WC 6605 MFP Imag Unit Kit Incl 4 Imag Units 1 for Ea Clr - CRU,1,1, $ 104.51 , $ 104.51 , $ 104.51 ,3978-0,6/19/2023,Parts,#N/A,#N/A,#N/A,,,
9/27/2023,108R01121,Xerox Phaser 6600 VersaLink C400 C405 WC 6605 MFP Imag Unit Kit Incl 4 Imag Units 1 for Ea Clr - CRU,1,1, $ 104.51 , $ 104.51 , $ 104.51 ,5562-0,9/27/2023,Parts,#N/A,#N/A,#N/A,,,
9/28/2023,108R01121,Xerox Phaser 6600 VersaLink C400 C405 WC 6605 MFP Imag Unit Kit Incl 4 Imag Units 1 for Ea Clr - CRU,1,1, $ 104.51 , $ 104.51 , $ 104.51 ,5587-0,9/28/2023,Parts,#N/A,#N/A,#N/A,,,
11/30/2023,108R01121,Xerox Phaser 6600 VersaLink C400 C405 WC 6605 MFP Imag Unit Kit Incl 4 Imag Units 1 for Ea Clr - CRU,1,1, $ 104.51 , $ 104.51 , $ 104.51 ,6514-0,11/30/2023,Parts,#N/A,#N/A,#N/A,,,
5/11/2023,108R01122,Xerox Phaser 6600 VersaLink C400 C405 WorkCentre 6605 Transfer Unit 100000 Yield - CRU,1,1, $ 176.54 , $ 176.54 , $ 176.54 ,3486-0,5/11/2023,Parts,#N/A,#N/A,#N/A,,,
2/29/2024,108R01124,Xerox 108R01124 Waste Toner Container,1,1, $ 14.66 , $ 14.66 , $ 14.66 ,7715-0,2/29/2024,Supplies,#N/A,#N/A,#N/A,,,
5/11/2023,108R01124,Xerox 108R01124 Waste Toner Container,1,1, $ 14.66 , $ 14.66 , $ 14.66 ,3486-0,5/11/2023,Supplies,#N/A,#N/A,#N/A,,,
9/12/2023,108R01124,Xerox 108R01124 Waste Toner Container,1,1, $ 14.66 , $ 14.66 , $ 14.66 ,5252-0,9/12/2023,Supplies,#N/A,#N/A,#N/A,,,
2/8/2024,108R01124,Xerox 108R01124 Waste Toner Container,1,1, $ 14.66 , $ 14.66 , $ 14.66 ,7625-0,2/8/2024,Supplies,#N/A,#N/A,#N/A,,,
6/2/2023,108R01419,Xerox Phaser 6510 WorkCentre 6515 Yellow Drum Cartridge 48000 Yield,1,1, $ 0.01 , $ 0.01 , $ 0.01 ,3676-0,6/2/2023,Parts,#N/A,#N/A,#N/A,,,
